team,conf,division,qb_name,qb_value,off_value,def_value,hc_name,coaching_value,oc_name,dc_name,scheme_value,your_edge,needs_review,notes,age,exp
Buffalo Bills,AFC,East,Josh Allen,6.5,1.1,-0.5,,0.0,,,0.0,0.0,N,"+DJ Moore WR1; OL (Corbett/Cushenberry); lost Cooks/Davis/Samuel. Off 1.0→0.6: receiver room thin behind Moore + both complementary starters dinged (Coleman foot/toe, Shakir ankle — both exp Wk1); good-not-elite group that leans on Allen — but good OL & James Cook (top-tier RB). D lost Bosa/Milano, +Chubb/CGJ/Stone; expect WORSE than 2025: lost HC McDermott (still rated his D better), new HC Joe Brady, new DC Jim Leonhard (1st NFL DC) installing aggressive hybrid 3-4 vs McDermott zone-heavy = transition risk. Wk1 held 6.6 (beat HOU 36-31 & covered): Allen elite (4 TD, 357 yds vs a vaunted D); OL flag — Allen sacked 8x; Allen R-fingers minor. Off 0.6→1.1 (Wk2): dominated DET 41-31, out-gained +91, Allen surgical (PFF 90.6, 3 TD/0 INT, ran well); complementary WRs producing (Coleman/Shakir/Kincaid). DJ Moore AC-joint sprain (shoulder, Q2 vs DET) NOT serious per Schefter/ESPN — day-to-day, good chance Wk3 — so full +0.5 (would've been +0.2 if Moore trending out)",30,8
Miami Dolphins,AFC,East,Malik Willis,-2.0,-1.5,-1.5,,0.0,,,0.0,0.0,N,"WR gutted (Hill/Waddle/Wilson out); D lost Chubb/Fitzpatrick, +Uche/Ojabo. Wk2 (L 13-35 at SF): bad but didn't feel that bad — QB Willis -1.5->-2.0 (may have had him too high). Off/Def held -1.5",27,4
New England Patriots,AFC,East,Drake Maye,2.5,-0.7,0.7,,0.0,,,0.0,0.0,N,"+A.J. Brown/Doubs/Vera-Tucker big skill upgrade; D +Dre'Mont Jones/Byard. Wk1 (L 10-13 at SEA): Off 0.5→-0.5 — A.J. Brown high-ankle sprain (on IR ~6 wks) removes the WR1; Maye poor but moved it. Wk2 (W 20-3 vs PIT): QB 3.0->2.5 — Maye bad again (1TD/4INT over 2 wks, shaky since late '25), tho vs an elite D; Off -0.5->-0.7 — RG Mike Onwenu ankle (rolled up by Watt, likely SEASON), stacked on no A.J. Brown/no Carlton Davis; Def 0.5->0.7 slight nudge — smothered a vet QB (held PIT offense to 13; Woodson/Dean/Barmore/Ponder scoop-TD), tempered bc PIT's box ~13 expected. Lost Woodson(S)/Dre'Mont Jones in the game too",24,2
New York Jets,AFC,East,Geno Smith,-2.0,-0.5,0.3,,0.0,,,0.0,0.0,N,"Geno held -2.0; Wk1 (beat TEN 23-10 on road): Off -1.0->-0.5 — OL dominated, Breece Hall 102/TD, Geno 19/24 efficient (Garrett Wilson WR1, ascending OL Fashanu/Tippmann/Membou); Def -1.0->-0.2 — strong unit (Fitzpatrick/Davis/Sweat/Onyemata) held TEN to 10/195 w/ 3 sacks, but not all the way to avg b/c TEN was overrated preseason; Minkah groin (DNR), rookie WR Cooper ankle, Ossai (plantar fascia) inactive. Wk2 (L 17-20 OT to GB): Def -0.2->0.3 (+0.5) — dominated the box (out-gained GB, +97 1H; model expected NYJ by 9), Jets should have won; D is legit. Off/QB held",36,13
Baltimore Ravens,AFC,North,Lamar Jackson,4.0,0.8,0.5,,0.0,,,0.0,0.0,N,"Henry/Flowers elite; OL lost Linderbaum to LV. D: elite talent +Hendrickson/Campbell + Hamilton/Roquan/Humphrey/Starks/Wiggins; new HC Jesse Minter (Macdonald style); caveat Madubuike neck surgery. Wk1 (beat IND 41-23, 506 yds): Off 0.5->0.8 — Henry 144/3TD. Wk2 (L 17-24 vs NO as ~8.5 HOME FAVORITE — lost outright, unacceptable): team -1.0 — Lamar 4.5->4.0 (-0.5: terrible game-sealing INT at the end, didn't close, 21/31 235 1TD 1INT) + Def 1.0->0.5 (-0.5: let a thin, banged-up NO offense score 24 and win in Baltimore as big favorites). Off held 0.8",29,8
Cincinnati Bengals,AFC,North,Joe Burrow,5.0,0.7,0.0,,0.0,,,0.0,0.0,N,"Chase/Higgins elite; OL improved — ~slightly below avg; D big +Dexter Lawrence/Jon Allen/Mafe/Dugger (retooled, still gelling). Wk1 (beat TB 33-27): Off 0.5→0.7; D held -0.5 (4 TB fumbles = variance). Wk2 (W 20-6 at HOU): Def -0.5->0.0 (+0.5) — looked great, held HOU to 6 (tho HOU out-gained CIN & was without Nico Collins). Burrow 20/31 207 2TD 0INT; Off/QB held",30,6
Cleveland Browns,AFC,North,Deshaun Watson,-2.5,-0.8,0.5,,0.0,,,0.0,0.0,N,"OL +Howard/Z.Johnson/Jenkins; D lost Garrett (to LAR), +Verse/Quincy Williams. Wk1: Watson -2.5→-3.0 (below worst-starter floor — PFF 37.0, 3 TWP); Def 1.0→0.5 (secondary carved by JAX/Lawrence 4TD); Off held -1.0. Wk2 (W 23-19 at TB): Watson -3.0->-2.5 — proved at least competent (24/30 238 2TD 0INT, 69.1 QBR/PFF). Off -1.0->-0.8 (+0.2): rookie WR Denzel Boston looks nice — 2 TD in first 2 career games. Def held 0.5",31,9
Pittsburgh Steelers,AFC,North,Aaron Rodgers,-1.5,0.0,1.0,,0.0,,,0.0,0.0,N,"+Pittman/Dowdle; TJ Watt D +Dean/Savage; Wk1 held 0.0 (beat ATL 20-13 & covered): D carried (Watt pick-6) vs 3rd-string ATL; offense sluggish but that's already priced (Rodgers -1.0). Wk2 (L 3-20 at NE): QB -1.0->-1.5 — Rodgers awful (26.8 QBR, 51.5 PFF, 0TD/1INT); Off HELD 0.0 (box says ~13 expected on 235 yds/16 1D — moved it, stalled in RZ; WAS MISSING WR Pittman) & Def HELD 1.0 (held NE offense to 13; Herbig 93.9/Benton 90.6/Queen/Watt 2sk). WATCH: Pittman out next wk -> Off -0.2; Dowdle out -> another -0.1",43,21
Houston Texans,AFC,South,C.J. Stroud,0.5,0.3,2.0,,0.0,,,0.0,0.0,N,"Nico Collins +Montgomery; −0.2 O: J.Higgins IR (slight downgrade), +Boutte but still learning playbook; D Anderson/Stingley elite. Wk1 held 2.8 (L 31-36 to BUF): D gave up 36 but to peak Allen (QoC) while generating 8 sacks — held, not dinged; Stroud struggled again (already priced); watch if D leaks vs non-elite offenses",25,3
Indianapolis Colts,AFC,South,Daniel Jones,0.5,0.8,-0.5,,0.0,,,0.0,0.0,N,"Jonathan Taylor (elite RB) + strong OL + Pierce/Keenan Allen/Downs + Tyler Warren = above avg. Wk1 (L 23-41 to BAL): Jones rusty back from Achilles; Def 0.0->-0.5. Wk2 (L 30-33 at KC): both units up — Jones -0.5->0.5 (looks pretty healthy now, moved the ball to 30 in KC); Off 0.5->0.8 (+0.3). Def held -0.5 (below avg, but based on the offenses played — fine there)",29,7
